Company;Report URL;Type of Report;Year Published;Industry;Geography
Sainsbury;https://www.about.sainsburys.co.uk/~/media/Files/S/Sainsburys/documents/reports-and-presentations/annual-reports/2020/Annual_Report_and_Financial_Statements_2020.pdf;Mainstream Annual Report/Financial Filings;2020;Retail;United Kingdom
Sacyr;https://www.sacyr.com/documents/63048160/64545294/Infome%20Integrado%20de%20Sostenibilidad%202020.pdf/46554a3f-5241-7157-6ab0-1bec1b747be2?1.7;Sustainability/ESG Report;2020;Real Estate Management and Development;Spain
RWE;https://www.rwe.com/-/media/RWE/documents/09-verantwortung-nachhaltigkeit/cr-berichte/EN/cr-report-2020.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;Germany
Royal Dutch Shell;https://www.shell.com/promos/business-customers-promos/download-latest-scenario-sky/_jcr_content.stream/1530643931055/eca19f7fc0d20adbe830d3b0b27bcc9ef72198f5/shell-scenario-sky.pdf;Climate/TCFD Report;2018;Oil and Gas;Netherlands
Royal Dutch Shell;https://reports.shell.com/sustainability-report/2019/servicepages/downloads/files/shell_sustainability_report_2019.pdf;Sustainability/ESG Report;2019;Oil and Gas;Netherlands
Royal Dutch Shell;https://reports.shell.com/annual-report/2019/servicepages/downloads/files/shell_annual_report_2019.pdf;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;Netherlands
Royal Dutch Shell;https://reports.shell.com/sustainability-report/2020/servicepages/downloads/files/shell-sustainability-report-2020.pdf;Sustainability/ESG Report;2020;Oil and Gas;Netherlands
Royal Dutch Shell;https://reports.shell.com/annual-report/2020/servicepages/downloads/files/shell-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Netherlands
Royal Dutch Shell;https://www.shell.com/promos/energy-and-innovation/shell-energy-transition-strategy/_jcr_content.stream/1618407326759/7c3d5b317351891d2383b3e9f1e511997e516639/shell-energy-transition-strategy-2021.pdf;Climate/TCFD Report;2021;Oil and Gas;Netherlands
Royal DSM;https://annualreport.dsm.com/ar2020/services/downloads.html;Mainstream Annual Report/Financial Filings;2020;Chemicals;Netherlands
Royal Bank of Canada;https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-TCFD-Report-2019.PDF;Climate/TCFD Report;2019;Banks;Canada
